,feature_importance
Perovskite_deposition_quenching_induced_crystallisation_True,0.06246440250899108
Perovskite_composition_leadfree_True,0.03659161138421121
Cell_area_measured,0.03302388944943524
dev_Atomic_Weight,0.03051224690948277
ETL_thickness,0.028347331125736144
Backcontact_thickness_list,0.026199224925508434
Perovskite_composition_a_ions_coefficients_1,0.024125680497123533
Perovskite_deposition_quenching_media_Unknown,0.022822198875140677
Perovskite_thickness,0.022776119885304532
Perovskite_deposition_quenching_induced_crystallisation_False,0.021565238259358955
Perovskite_composition_leadfree_False,0.019296237257432087
HTL_stack_sequence_PEDOT:PSS,0.01833071163301298
dev_crystal_radius,0.013785092544241746
HTL_thickness_list,0.013286133031935791
Perovskite_deposition_solvents_DMF; DMSO >> IPA,0.010504935590979885
HTL_stack_sequence_PTAA,0.01010659183509067
Perovskite_composition_a_ions_FA; MA,0.009413420399012416
Perovskite_deposition_solvents_GBL,0.00863778457708474
dev_Density_(g/mL),0.006704515532692513
HTL_stack_sequence_Spiro-MeOTAD,0.006058941501242664
avg_Melting_point_(K),0.005950052142869586
Perovskite_deposition_solvents_mixing_ratios_1,0.005772836823761013
HTL_additives_compounds_Li-TFSI; TBP,0.005690766249226447
Perovskite_deposition_solvents_DMF,0.005350372117654313
avg_Cohesive_energy,0.004685972239795417
Perovskite_deposition_solvents_DMF; DMSO,0.004477327548131136
ETL_deposition_procedure_Spin-coating,0.004401163005312273
ETL_stack_sequence_PCBM-60,0.004130209993204849
HTL_stack_sequence_P3HT,0.0041104505502967585
Perovskite_deposition_thermal_annealing_temperature_100.0,0.004063927613284644
Perovskite_deposition_thermal_annealing_time_10.0,0.004057706538193615
Perovskite_deposition_synthesis_atmosphere_N2,0.004030752999275938
Perovskite_additives_compounds_Cl,0.0038267174602502818
avg_MB_electonegativity,0.0038042280974505604
ETL_deposition_procedure_Spin-coating ,0.003696139525009035
dev_valence_d,0.0036759699077303135
Perovskite_deposition_synthesis_atmosphere_Unknown,0.003612768986298707
ETL_additives_compounds_Unknown,0.0034543051156649004
max_Density_(g/mL),0.003432926368581166
ETL_deposition_procedure_ Spin-coating,0.003327023913721405
range_Density_(g/mL),0.0033018868123959916
Perovskite_deposition_thermal_annealing_time_15.0,0.0032951643778031795
dev_Number_of_unfilled_p_valence_electrons,0.0032897152181871354
avg_Zunger_radii_sum,0.0032480292888155374
Perovskite_deposition_synthesis_atmosphere_Air,0.0032078709858092626
avg_crystal_radius,0.0031673728184904645
ETL_stack_sequence_ TiO2-mp,0.0031303145787603213
dev_valence_p,0.0030838361486102404
Perovskite_deposition_thermal_annealing_temperature_Unknown,0.0030373234531793705
Backcontact_stack_sequence_Ag,0.002951153686501841
dev_Number_of_unfilled_d_valence_electrons,0.002944009238209525
Backcontact_deposition_procedure_Evaporation,0.0029112611139275775
Substrate_stack_sequence_ ITO,0.002900604948257029
Perovskite_deposition_solvents_mixing_ratios_4; 1,0.002872887323040514
avg_thermal_conductivity_(W/(m_K))_,0.002852617569508565
Perovskite_deposition_thermal_annealing_time_Unknown,0.0028420025896000105
Backcontact_stack_sequence_Au,0.0028178946744297118
ETL_stack_sequence_TiO2-c,0.002816314981218194
dev_outer_shell_electrons,0.002807528382996257
HTL_deposition_procedure_Spin-coating,0.002801013421611865
Cell_semitransparent_True,0.0027454033889864095
Perovskite_deposition_procedure_Spin-coating >> Spin-coating,0.0026031249184875083
Backcontact_stack_sequence_Al,0.0024864622569349833
ETL_stack_sequence_TiO2-c ,0.002439546337294457
Perovskite_deposition_quenching_media_Toluene,0.0023950805173003566
Substrate_stack_sequence_ FTO,0.002292218159180113
ETL_stack_sequence_SnO2-c,0.0022876005935215382
Perovskite_deposition_thermal_annealing_time_30.0,0.002266409979122568
Perovskite_band_gap_1.6,0.0022571072884701652
Perovskite_deposition_thermal_annealing_time_60.0,0.002241166966719981
