Abbreviation,Chemical Formula
1.3-Pr(NH3)2,(C3H7(NH3)2)
n-C3H7NH3,(C3H7NH3)
pF1PEA,(FC6H4CH2CH2NH3)
oF1PEA,(FC6H4CH2CH2NH3)
N-EtPy,(C5H5NC2H5)
mF1PEA,(FC6H4CH2CH2NH3)
iso-BA,(C4H9NH3)
EU-pyP,(C20H12EuN4)
Cl-PEA,(ClC6H4CH2CH2NH3)
CH3ND3,(CH3NH3)
Br-PEA,(BrC6H4CH2CH2NH3)
5-AVAI,(COOH(CH2)4NH3)
PyrEA,(C5H5NC2H4NH3)
pFPEA,(FC6H4CH2CH2NH3)
oFPEA,(FC6H4CH2CH2NH3)
NMABr,(C10H7CH2NH3)
mFPEA,(FC6H4CH2CH2NH3)
H-PEA,(C6H5CH2CH2NH3)
f-PEA,(FC6H4CH2CH2NH3)
F-PEA,(FC6H4CH2CH2NH3)
F5PEA,(C6F5CH2CH2NH3)
APMim,(C7H14N3)
5-AVA,(COOH(CH2)4NH3)
4FPEA,(FC6H4CH2CH2NH3)
4APyH,(C5H6N2)
4ApyH,(C5H6N2)
4AMPY,(C6H7N2)
3AMPY,(C6H7N2)
ThMA,(SC4H3CH2NH3)
ThFA,(SC4H3CHNH2NH2)
TFEA,(CF3CH2NH2)
PyEA,(C5H5NC2H4NH3)
PPEA,(C6H5CNH3C2H3)
PDMA,(C6H4(CH2NH3)2)
MTEA,(CH3S(CH2)2NH3)
MIC3,((CH3)3C3HNS)
MIC2,((CH3)2C3H2NS)
MIC1,(CH3C3H3NS)
ImEA,(C3N2H4(CH2)2NH3)
HTAB,(C9H22N)
GABA,(COOH(CH2)3NH3)
F3EA,(CF3CH2NH3)
ClEA,(CH2ClCH2NH3)
CHMA,(C6H11CH2NH3)
CEPA,(ClC6H4C2H4NH3)
BzDA,(NH3CH2C6H4CH2NH3)
Anyl,(C6H5NH3)
FPEA,(FC6H4CH2CH2NH3)
4AMP,(C6H15N2)
3AMP,(C6H15N2)
TMA,((CH3)4N)
THM,(COOH(CH2)4NH3)
TEA,(SC4H3CH2CH2NH3)
TBA,((C4H9)4N)
PTA,(C6H5N(CH3)3)
PPA,(C6H5(CH2)3NH3)
PMA,(C6H5NH2CH3)
PGA,(HCCCH2NH3)
PEI,(C2H4NH)
Pei,(C2H4NH)
PDA,(C6H5N(CH3)3)
PBA,(C6H5(CH2)4NH3)
OdA,(NH3(CH2)8NH3)
NEA,(C10H7(CH2)2NH3)
iPA,(C3H5NH3)
IEA,(IC2H4NH3)
HEA,(OH(CH2)2NH3)
HdA,(NH3(CH2)6NH3)
HAD,(C6H12(NH3)2)
FEA,(CF3CH2NH3)
EPA,(C6H5(CH2)2NH3)
EDA,((CH2)2(NH2)2)
DPA,(C6H5NHCH3CH3)
DMA,((CH3)2NH2)
DAT,(NH3(CH2)8NH3)
DAP,((CH2)3(NH3)2)
BZA,(C7H7NH3)
BYA,(HCCCH2CNH3)
PEA,(C6H5(CH2)2NH3)
BIM,(C6H6N4)
BEA,(NH3(CH2)4NH3)
BdA,(NH3(CH2)4NH3)
BDA,(NH3C6H4NH3)
ALA,(C3H8N)
Ada,(C10H15)
Ace,(CH3C(NH2)2)
A43,((CF3)3CO(CH2)3NH3)
AVA,(COOH(CH2)4NH3)
TN,(C3H12N2)
TA,(C3H2NSNH3)
PR,(H3N(CH2)3NH3)
PN,(C3H10N2)
PA,(C3H5NH3)
OA,(C8H17NH3)
IA,(C3H5N2)
HA,(N2H5)
GU,((NH2)3C)
GA,(CH6N3)
FA,((NH2)2CH)
DI,((CH3)2NH2)
MA,(CH3NH3)
CA,(C3H8N)
BU,(H3N(CH2)4NH3)
IM,(C3N2H5)
BE,(C6H5CH2NH3)
DA,(C12H24NH3)
BA,(C4H9NH3)
AN,(C6H5NH3)
Aa,(CH3CNHNH3)
EA,(C2H5NH3)
